keywords,label,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
3D printing,term,0,0,1,0,0,1,0,1,0,8,0,9,0,0,2,0,2,0,5,1,1,4,1,0,3,1,0,0,3,0,2,1,0,0,11,1,2,1,1,0,2,0,1,0,2,0,0,1,0,1,0,7,0,2,0,4,4,0,0,1,12,2,3,3,1,0,0,0,0,0,1,0,0,2,2,2,2,0,4,0
5G,term,2,0,0,0,0,10,0,0,9,11,10,1,3,4,18,1,6,16,10,0,6,37,4,7,1,14,39,4,8,10,25,16,19,11,25,6,13,19,5,15,15,11,11,6,8,8,5,0,2,6,15,3,12,12,7,3,9,8,2,8,4,6,3,7,10,5,36,2,15,15,11,2,2,7,4,3,11,1,4,0
ABL,com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,7,0,3,0,0,0,11,10,7,6,0,0,1,1,4,6,0,7,2,2,2,2,5,2,3,0,3,0,0,9,0,4,0,3,4,0,0
ABS,com,7,2,2,2,0,0,0,0,0,17,2,7,0,0,0,0,0,6,1,8,6,5,0,0,0,2,0,0,2,6,1,9,4,3,0,1,0,3,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AEHF,satellite,0,0,0,0,0,0,1,12,0,0,0,0,0,2,7,2,5,3,0,15,0,2,7,3,1,8,0,8,0,2,0,3,0,0,5,0,0,6,12,0,0,0,0,0,12,2,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,5,5,0,0,0,1,0,0,0,0,0,1,1,2,0,0
AFRL,org,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,4,0,1,0,2,0,2,1,0,1,10,7,0,3,5,10,1,1,14,0,9,0,4,0,11,5,6,5,5,2,2,5,3,3,15,8,3,11,5,5,1,15,0,6,3,1,7,1,0,0,11,6,1,0
AI,term,0,0,0,0,0,0,3,10,0,0,0,11,0,2,6,6,18,10,21,3,2,1,4,0,0,3,2,11,1,5,14,19,0,1,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,3,30,7,1,1,0,0,3,5,6,2,4,1,0,4,5,0,4,1,1,5,7,2,9,23,1,2,18,11,28,1
ASAT,term,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,4,1,3,0,17,4,2,3,5,16,11,7,6,11,7,1,3,4,0,0,0,1,0,1,12,0
ASI,org,1,0,0,3,0,4,0,2,0,0,0,5,0,0,0,0,0,1,4,0,1,1,6,0,0,0,3,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,6,0,0,12,0,1,0,6,4,1,4,6,1,1,1,0,0,2,3,0,0,0,0,1,0,2,0,0,0,0
AST,org,0,6,3,4,2,1,6,0,0,7,0,0,0,9,0,5,0,6,1,0,5,2,5,0,0,0,0,0,8,2,3,13,0,0,1,1,0,7,0,8,2,1,0,2,0,0,0,3,0,2,0,1,1,2,1,0,0,0,0,0,0,1,0,0,2,11,3,2,6,8,1,2,1,0,0,1,2,2,0,0
AST SpaceMobile,com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,2,6,2,5,1,0,0,0,0,0,3,10,0,27,3,9,17,3,1,6,17,4,2,10,8,6,11,0,0
AWS,com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,19,0,0,4,0,0,4,1,0,0,0,0,0,11,2,8,0,0,0,0,0,6,9,2,5,6,0,25,0,5,1,0,0,0,0,2,4,0,0,1,1,0,1,0,0,3,0,1,0,0,0,0
Aerojet,com,1,4,1,3,4,0,0,3,0,0,0,3,0,2,1,0,4,19,7,1,17,10,0,0,0,0,0,7,1,0,4,0,8,9,0,0,0,0,10,0,3,0,0,0,0,0,1,5,5,12,10,0,0,0,0,2,3,1,0,0,6,1,0,3,0,0,2,7,0,1,0,14,1,0,0,5,2,0,4,0
Aerojet Rocketdyne,com,2,15,7,14,13,7,1,15,2,5,3,8,2,21,11,1,9,13,9,6,7,12,0,1,1,0,1,6,3,1,8,4,6,12,2,1,3,1,12,1,2,2,0,2,2,1,1,15,6,8,3,2,1,1,1,4,3,2,0,0,3,9,1,6,1,0,4,4,1,2,1,3,6,2,0,4,1,1,9,0
Aerospace Corp.,com,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,2,0,2,1,1,0,0,0,2,0,3,5,2,1,4,3,16,2,0,4,2,4,0,2,0,0,2,2,0,0,6,2,8,4,2,0,2,1,3,1,4,0,4,3,2,2,2,0,6,2,0,0,1,3,0,1,3,2,0,0,3,0,1,0,0
Africa,loc,14,7,5,3,8,1,4,3,2,5,6,6,5,2,9,8,8,3,2,6,9,9,4,2,1,11,1,4,17,4,6,10,3,5,2,4,4,1,3,2,4,1,0,4,5,2,3,3,2,8,3,4,1,7,5,4,1,0,1,3,2,3,1,7,9,3,14,5,6,1,3,7,1,7,0,1,15,3,1,0
Air Force,org,54,35,87,63,105,97,44,54,132,50,91,72,136,197,202,212,135,143,51,118,154,179,51,132,121,96,237,261,244,215,145,113,216,153,118,151,170,96,83,62,94,94,68,97,55,47,41,42,40,44,28,34,72,38,11,57,20,44,6,28,28,27,28,14,23,25,15,20,24,19,16,18,27,13,31,32,28,31,45,0
Air Force Research Laboratory,org,0,0,0,0,0,1,0,0,1,0,0,2,0,4,0,0,1,0,3,0,3,2,0,1,3,3,2,2,2,2,0,1,1,3,0,0,2,1,2,2,1,3,3,6,3,2,1,1,4,5,7,1,5,5,2,8,6,7,6,4,7,5,4,6,3,2,3,2,2,5,3,3,6,4,0,2,6,5,1,0
Air Force Space Command,org,2,0,4,6,6,4,3,5,4,1,7,10,19,4,20,18,4,12,3,10,11,3,19,15,5,15,8,7,8,8,6,3,10,8,13,5,9,6,6,3,1,3,2,0,1,0,1,1,3,3,0,0,2,2,1,2,1,1,0,0,0,2,0,2,1,2,1,0,1,0,0,0,2,0,0,1,0,0,0,0
Air Force Space and Missile Systems Center,org,1,2,3,1,0,1,1,0,1,0,3,3,2,8,3,7,11,8,3,11,9,6,8,7,3,7,8,19,15,10,3,11,11,10,4,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airbus,com,0,8,22,5,3,20,8,4,21,35,4,10,6,2,5,11,6,12,23,15,18,18,16,2,2,20,19,10,26,3,30,9,16,3,9,5,10,12,15,7,13,0,42,23,10,20,17,19,8,4,20,14,3,12,2,13,7,7,2,15,23,4,11,8,1,2,17,2,4,14,7,15,17,1,14,6,15,2,13,0
Airbus Defence and Space,com,4,8,3,3,4,9,3,6,5,14,3,0,3,1,1,3,4,4,0,6,7,4,11,7,3,8,9,6,9,2,5,5,9,3,5,4,6,15,4,2,2,0,11,11,3,3,5,0,3,3,3,4,2,4,3,3,3,2,1,8,1,0,0,5,0,2,0,1,2,1,3,1,2,2,2,3,3,3,5,0
Aireon,com,0,0,0,0,5,12,1,0,0,1,0,1,1,6,2,2,29,0,1,1,0,2,25,1,26,0,0,26,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,loc,0,2,1,5,3,9,1,2,0,1,4,1,1,1,2,2,5,2,0,3,1,6,2,0,4,2,1,1,2,0,0,3,3,1,1,1,1,1,7,3,2,1,1,2,0,1,1,0,6,8,3,3,2,1,0,11,2,2,0,2,0,5,0,3,1,2,1,2,0,0,0,2,2,0,1,0,5,2,1,0
Alaska,loc,3,3,0,0,1,4,1,3,2,2,1,1,7,3,2,6,1,0,7,1,1,3,3,5,8,1,0,2,3,1,2,8,5,5,4,2,2,11,1,0,1,5,6,1,2,1,3,0,2,1,4,9,1,3,5,4,8,3,6,6,3,5,2,3,15,4,0,1,1,2,5,1,4,4,4,0,5,0,1,0
Alpha,satellite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,14,0,1,2,0,1,1,1,0,2,0,0,0,0,15,0,2,5,1,2,8,0,0,0,2,1,0,1,0,5,7,0,1,5,3,0,14,18,0,5,7,7,3,6,0,1,4,4,7,3,11,0,0,0,1,2,0,3,8,1,0
Amazon,com,0,0,0,3,0,0,1,1,0,0,0,0,2,0,0,2,1,1,0,0,1,1,8,12,0,0,4,24,7,1,29,3,2,9,5,12,5,2,8,5,0,4,13,5,4,3,3,12,2,3,4,18,3,6,4,12,11,7,21,5,11,7,1,46,3,12,2,4,10,23,11,10,2,9,13,9,3,8,17,6
America,loc,1,4,1,6,10,17,7,6,6,17,1,22,3,7,10,14,8,7,3,8,12,9,4,8,1,10,7,10,20,11,15,5,5,7,1,4,3,7,12,6,9,3,8,4,2,12,12,7,3,8,5,6,23,8,2,3,4,6,5,2,5,0,1,12,6,7,4,5,4,1,8,3,1,2,2,2,9,2,20,0
American,loc,9,9,13,18,6,17,20,8,17,18,7,28,22,14,17,23,12,25,19,28,17,32,10,21,18,13,28,28,29,19,26,17,11,21,18,11,14,30,12,22,28,24,16,23,2,19,12,16,18,17,14,13,16,14,12,11,7,8,12,13,7,12,14,18,8,7,17,10,4,8,16,6,10,10,11,4,14,5,34,0
Americans,loc,2,0,0,2,2,2,0,1,2,5,0,4,4,3,0,3,3,4,0,3,2,6,6,3,0,5,6,0,5,2,5,6,0,3,1,0,3,2,1,2,3,1,2,2,0,4,2,4,2,1,1,4,4,2,2,3,1,1,1,3,0,2,2,2,1,4,3,3,0,1,1,5,2,0,2,1,3,1,0,0
Americas,loc,2,2,1,1,2,2,7,5,6,4,0,1,1,2,2,1,8,0,4,1,3,3,0,2,1,5,1,2,0,5,0,3,1,3,1,1,3,0,0,0,1,0,1,0,0,1,1,1,0,1,0,2,1,0,1,1,0,3,1,3,0,3,0,1,5,1,2,1,1,1,5,2,1,3,3,2,7,0,5,0
Antares,rocket,0,0,1,12,0,20,1,3,0,2,24,0,2,7,0,1,3,0,1,0,0,7,1,0,0,0,0,9,1,1,0,1,0,3,7,2,0,3,0,0,0,0,1,1,1,2,0,1,0,3,3,0,0,2,0,6,0,0,0,0,0,8,6,0,0,4,0,10,3,2,9,3,1,1,2,5,2,5,3,0
Apollo,term,5,7,1,1,4,0,4,3,2,1,4,5,2,2,0,7,4,1,1,0,1,6,1,1,3,0,0,8,8,7,65,49,0,2,1,1,0,3,1,2,1,7,3,7,7,3,6,13,2,2,3,6,2,1,2,3,0,0,0,2,6,0,1,4,0,4,0,2,0,3,5,6,2,4,3,5,1,0,4,0
Apple,com,0,0,0,5,0,0,1,1,2,0,0,0,0,0,1,1,0,0,1,0,1,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,3,1,2,3,1,1,3,11,9,19,7,10,13,1,5,1,8,3,0
Arctic,loc,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,4,0,1,14,3,2,1,2,8,2,18,6,1,1,0,0,1,1,3,2,2,0,89,1,0,0,0,11,0,0,1,1,2,1,0,0,0,0
Ariane 5,rocket,16,13,20,20,15,30,8,13,14,28,6,12,27,32,5,13,9,6,12,9,29,8,10,11,14,12,7,7,5,4,5,13,15,7,11,0,13,5,9,4,2,1,15,10,4,3,0,1,4,0,1,0,14,11,15,2,6,5,8,15,11,0,1,3,0,16,0,3,7,2,3,4,2,2,2,10,0,9,15,1
Ariane 6,satellite,2,11,2,8,2,11,0,0,9,33,0,8,17,2,1,3,10,0,9,26,15,3,10,1,35,3,16,11,16,2,0,2,13,11,24,0,24,10,4,2,16,0,12,1,8,17,0,2,6,0,0,2,0,7,0,0,1,0,29,5,18,3,15,11,0,19,3,0,5,39,13,8,6,4,1,8,7,0,11,2
ArianeGroup,com,0,0,0,0,1,6,0,3,1,24,0,2,9,4,0,2,1,1,4,9,5,0,17,1,8,2,3,7,14,0,1,0,2,6,20,1,7,0,4,0,7,0,3,5,2,3,1,0,0,0,0,0,2,1,1,1,0,1,8,0,1,0,0,1,0,0,0,0,0,8,2,2,1,0,6,0,1,0,1,0
Arianespace,com,17,12,24,33,18,36,6,11,32,12,6,10,30,16,10,23,10,4,16,28,25,33,21,15,41,16,15,11,13,6,15,25,35,15,12,6,33,20,27,20,9,2,12,11,23,5,13,23,11,0,4,12,8,6,12,13,14,11,16,23,18,12,22,20,1,23,3,7,19,19,18,17,5,9,14,4,4,14,7,2
Army,org,0,0,0,2,0,0,2,4,20,37,10,2,6,3,6,4,2,8,2,10,8,51,8,2,2,4,8,3,15,14,13,17,4,36,3,2,6,10,4,13,20,6,0,7,6,7,5,3,2,1,0,11,13,12,0,7,11,3,5,0,0,1,0,2,10,1,2,39,0,1,0,0,0,4,1,0,0,2,0,0
Artemis,term,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,29,22,31,14,23,10,12,11,10,21,8,18,19,8,7,17,17,10,8,7,16,26,14,17,9,12,17,2,8,15,9,15,9,22,17,13,17,3,12,17,6,28,30,19,36,17,9,13,8,22,0
Artemis 1,satellite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,4,6,0,8,0,3,0,5,0,1,2,1,3,3,1,6,2,2,0,0,9,0,9,3,1,4,7,3,3,2,1,0,21,8,4,15,20,1,12,4,3,4,0,1,2
Asia,loc,5,1,3,0,7,2,1,1,2,4,3,1,1,0,4,1,4,9,6,1,2,2,1,2,4,0,6,0,4,0,3,5,3,3,2,4,2,3,1,4,0,0,2,0,0,0,0,1,0,0,1,3,0,1,4,3,1,3,4,2,2,3,2,2,9,1,0,4,3,12,0,2,1,2,1,0,3,1,1,3
Asia-Pacific,loc,1,5,1,1,5,4,4,2,5,2,1,1,1,2,3,1,7,2,4,0,3,3,1,0,4,4,4,2,1,2,3,7,5,1,1,3,0,4,0,3,0,4,0,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,3,1,0,2,0,1,0,0,0,1,0,2,0,4,0
AsiaSat,com,1,6,18,3,1,1,11,2,11,2,0,0,1,0,12,11,0,1,2,5,1,0,0,0,0,3,17,0,0,0,10,9,8,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Astra,com,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,19,0,4,9,22,17,8,1,8,8,4,21,34,7,1,25,28,31,13,11,28,11,6,27,31,11,27,10,2,20,10,16,11,0,0,1,18,29,13,1,43,0
Astranis,com,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,7,0,0,0,5,0,0,8,0,4,0,14,3,0,12,4,0,0,0,1,15,1,0,0,2,0,0,13,0,0,0,1,1,0,5,0,0,17,0,7,3,4,18,0,1,2,16,0,0,0,3,0,0,2,0,1,11,11,1,13,3,33,0
Astrobotic,com,1,0,0,0,3,3,12,0,1,8,0,0,1,0,0,5,6,1,7,1,2,1,0,4,0,2,2,0,3,0,2,15,3,4,5,1,1,0,0,5,2,6,0,5,1,1,4,2,2,4,2,10,1,2,6,5,1,0,1,6,0,0,1,5,6,1,9,11,31,5,3,10,1,8,3,10,3,3,4,0
Astrocast,com,0,0,0,0,0,2,0,2,0,0,0,5,0,0,1,0,0,0,1,9,0,0,0,2,1,0,0,4,0,0,0,1,24,1,0,4,0,0,5,0,1,0,1,1,0,0,0,0,1,1,0,0,0,10,1,1,0,0,0,0,0,3,0,0,16,0,0,12,0,0,15,0,0,0,0,7,0,0,0,0
Astroscale,com,0,0,0,0,0,0,11,0,14,0,8,0,0,0,2,4,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,1,13,0,7,1,12,0,0,4,10,0,2,1,13,11,13,0,1,19,0,4,9,12,14,12,14,28,2,15,8,0,4,26,3,6,3,10,1,3,0,2,16,2,1,6,8,9,0
Atlantic Ocean,loc,0,0,1,0,1,2,0,1,0,4,1,1,3,1,0,1,0,0,0,1,1,0,0,1,0,2,4,0,1,1,2,0,0,2,2,1,3,3,1,2,2,3,2,3,1,3,3,2,2,2,2,3,2,3,1,0,1,3,3,4,1,2,2,3,2,4,1,0,0,4,7,2,3,4,0,2,1,2,1,0
Atlas,com,1,0,2,4,0,1,0,2,0,4,1,0,1,1,5,1,3,3,1,0,1,0,1,9,0,0,0,7,1,0,2,17,3,1,1,1,1,0,2,0,1,0,0,3,0,0,0,0,1,1,0,0,1,1,0,4,2,1,0,0,1,5,0,1,2,5,0,7,1,1,2,0,1,8,3,1,0,1,0,0
Atlas 5,rocket,13,8,26,32,5,11,10,6,9,4,9,4,20,15,20,7,9,4,3,10,11,22,6,4,4,5,9,27,21,2,6,22,8,23,7,18,6,4,19,4,10,5,12,13,8,3,4,7,3,2,5,9,19,11,6,32,11,7,2,10,7,15,13,7,12,9,2,4,2,12,10,1,4,6,4,7,2,4,0,3
Australia,loc,1,1,2,0,17,2,12,0,9,17,1,5,2,6,8,4,21,3,5,8,7,17,2,2,5,4,1,4,2,3,2,8,15,7,6,5,8,17,9,7,2,4,4,2,3,5,10,3,1,4,7,4,3,9,3,6,3,20,11,31,5,10,3,9,6,7,8,5,8,8,2,3,6,6,2,8,1,2,3,0
Australian,loc,0,0,1,1,5,3,7,0,11,1,0,2,0,1,2,1,3,1,2,1,4,9,4,0,3,3,0,4,2,1,2,3,15,5,0,4,4,4,3,9,2,4,2,2,4,4,10,0,2,0,8,1,1,7,2,4,4,16,11,10,2,2,2,2,1,1,6,4,4,7,0,0,1,0,1,9,2,2,1,0
Avanti,com,0,0,1,0,0,0,0,11,1,0,0,17,0,1,0,21,4,10,1,6,0,0,0,0,1,0,0,0,12,23,0,2,12,0,0,1,1,0,1,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0
Avio,com,1,1,0,4,20,4,0,4,0,5,9,16,0,2,0,10,4,0,5,5,1,0,2,1,8,2,16,0,10,0,8,0,6,0,15,0,0,0,26,0,13,2,0,0,14,4,5,8,2,0,4,3,0,0,0,0,0,6,0,1,5,0,0,2,10,22,2,0,1,0,0,3,0,3,17,1,2,8,0,0
Axiom,com,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,9,1,0,0,0,1,4,5,0,1,4,8,15,2,19,15,2,1,2,2,11,10,3,7,2,28,5,13,1,11,30,2,5,12,1,11,17,23,9,1,39,0
Axiom Space,com,0,3,0,0,1,1,0,0,1,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,3,1,3,0,2,4,2,0,0,4,5,7,2,8,7,1,3,8,5,7,5,5,4,7,29,2,3,3,3,20,6,10,9,3,11,8,11,13,3,37,1
BE-4,satellite,0,0,6,13,16,12,3,4,3,21,1,1,0,1,12,5,10,4,0,0,9,7,0,0,8,0,1,1,3,0,0,3,0,1,1,0,1,2,2,0,0,0,3,2,0,0,0,4,1,1,1,0,2,2,2,16,0,0,0,6,2,0,7,2,1,2,0,0,1,3,1,0,0,3,2,1,3,2,8,0
Baikonur Cosmodrome,loc,0,3,0,1,0,4,5,1,2,0,0,3,1,0,0,4,0,0,0,0,2,4,0,1,4,1,1,1,1,0,3,3,1,1,1,2,2,4,2,3,0,0,2,2,0,2,3,2,0,1,2,0,0,0,2,2,1,1,1,2,0,4,5,2,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0
Ball Aerospace,com,3,1,2,2,1,2,2,0,1,0,1,0,2,0,1,0,1,1,0,2,1,3,0,1,1,5,4,2,3,2,2,1,3,4,1,1,3,1,0,0,0,8,0,9,5,0,0,1,2,2,0,0,7,1,2,3,1,2,0,1,2,0,0,0,2,1,1,4,2,7,6,1,5,1,0,2,5,4,0,0
Beijing,loc,0,0,2,0,0,0,5,2,0,0,1,0,0,0,2,2,2,1,3,2,2,1,1,1,2,5,2,1,1,1,2,1,0,2,2,0,3,1,1,3,1,1,3,5,1,0,1,6,4,1,0,6,18,3,2,4,0,1,3,1,12,0,6,3,2,0,1,4,3,5,1,0,2,1,3,0,1,1,4,0
Bezos,com,1,0,15,4,3,1,2,0,0,0,0,3,0,0,1,1,5,0,0,0,9,2,0,0,0,3,5,4,16,7,1,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,8,10,17,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Biden,term,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,2,34,15,18,12,10,8,9,0,2,1,0,1,1,6,1,2,1,3,4,0,2,0,1,0,0,0,0,0,1,0,3,1,2,0
Biden administration,org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,8,17,6,6,5,2,2,3,3,5,2,3,3,2,1,7,1,0,3,0,2,3,0,1,0,2,3,1,4,2,12,0
BlackSky,com,0,0,0,0,0,0,0,0,10,0,2,0,0,2,14,4,0,1,1,0,1,0,1,1,0,11,0,0,0,17,1,3,0,2,17,1,1,14,0,7,8,25,6,6,27,3,5,0,0,12,14,11,10,1,2,24,11,25,15,18,5,4,1,20,8,8,11,6,4,0,2,3,2,1,16,2,15,3,3,8
Blackjack,satellite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,15,6,3,10,6,14,3,16,2,0,4,7,3,1,0,1,1,0,1,9,0,0,6,4,11,18,18,4,4,2,3,5,3,6,10,9,5,1,9,6,1,0,12,6,2,0,1,1,0,0,2,6,0,0,0,0,0,0,3,0,7,0,0
Blue Canyon Technologies,com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,3,1,2,2,1,1,6,0,0,2,0,2,1,3,2,2,6,1,5,1,1,4,5,2,4,3,1,6,3,0,3,2,0,2,2,2,1,0,4,0,3,2,4,3,1,0,1,0,0,2,2,2,1,0,0
Blue Origin,com,0,8,26,39,31,43,15,12,19,29,5,31,2,9,42,27,33,18,23,17,36,49,9,9,41,12,33,50,55,27,23,46,27,22,43,20,22,28,40,9,25,25,12,34,15,28,2,34,30,28,31,58,44,21,94,89,41,49,53,40,16,24,22,30,8,23,9,12,27,16,18,16,2,24,18,21,43,22,48,1
Boca Chica,loc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,3,0,3,4,4,1,0,2,4,0,7,4,2,3,5,2,5,4,0,4,5,6,0,8,2,7,3,4,1,3,0,4,0,2,1,2,1,2,1,8,6,0,0,0
Boeing,com,31,75,34,28,47,26,24,32,29,16,11,16,43,30,26,43,25,27,39,44,34,64,19,24,27,22,38,59,47,38,35,21,56,72,69,91,50,55,36,41,15,28,21,35,7,28,9,31,31,17,7,32,13,12,23,39,22,54,26,28,9,20,46,32,70,23,19,26,8,33,24,18,6,31,28,24,28,30,14,7
Brazil,loc,9,0,4,1,6,0,1,4,1,4,2,0,4,33,4,5,2,0,1,3,6,7,0,4,0,1,9,4,8,3,0,2,4,0,9,0,0,2,0,1,2,0,0,16,0,0,3,1,0,4,0,1,4,9,0,1,0,2,0,1,4,1,30,1,3,0,0,0,1,1,0,1,0,1,1,2,1,3,0,0
Bridenstine,com,4,1,11,0,0,0,1,0,37,12,19,1,26,0,21,36,6,23,14,10,13,9,10,4,10,0,15,24,16,10,22,19,5,16,0,13,10,4,10,5,17,9,3,4,11,1,7,1,9,1,3,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
British,loc,5,9,13,2,6,14,3,7,2,1,10,5,5,2,3,7,7,8,28,25,1,6,5,5,2,4,8,3,2,7,8,9,5,1,7,3,3,4,6,1,8,6,31,6,15,6,7,5,2,5,16,16,25,16,10,22,19,6,8,15,4,11,15,6,21,21,37,4,14,18,11,10,13,14,5,7,12,5,18,0
C-Band Alliance,org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,0,17,14,2,6,0,14,20,28,21,26,0,18,21,2,0,2,2,4,0,0,7,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-band,term,0,1,0,1,4,0,1,0,5,61,25,15,4,9,6,0,7,44,8,1,2,31,3,13,0,6,15,1,13,4,19,13,30,16,20,0,5,28,3,2,19,47,7,29,10,10,17,1,6,0,8,1,22,9,1,5,3,5,1,3,3,0,1,2,3,5,0,5,0,15,6,0,0,0,3,4,3,6,8,0
CALT,org,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,5,0,4,1,2,0,0,1,0,0,0,0,1,1,0,0,3,0,0,2,0,1,1,1,0,2,2,1,6,3,2,0,6,0,1,1,2,1,2,1,2,1,0,6,2,0,0,2,2,7,2,7,5,4,3,0,1,4,2,0,0,0
CAPSTONE,satellite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,1,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,21,3,5,0,0,1,9,1,10,6,13,18,8,6,2,9,0,1,4,0,0,0,0,0,0
CASC,org,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,7,7,3,8,4,9,0,2,3,12,10,0,0,8,3,7,7,6,2,6,10,11,17,5,3,9,11,12,11,7,12,12,11,14,11,12,8,6,10,8,10,11,15,8,18,23,15,16,5,7,13,4,15,11,7,3,18,13,19,18,13,10,10,14,0
