keywords,label,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
Vandenberg,loc,3,1,4,0,1,0,0,0,0,0,2,0,3,0,0,1,2,2,4,1,0,2,0,3,0,1,1,1,2,3,10,2,0,9,2,0,1,0,0,1,0,7,0,4,10,1,16,0,1,2,1,2,1,0,0,9,6,0,2,3,2,3,3,1,3,0,1,6,7,3,1,0,0,1,2,7,6,1,0,0
Vandenberg Air Force Base,loc,8,6,8,3,10,5,2,3,4,4,3,5,5,3,1,6,7,4,3,4,1,8,4,6,5,3,2,7,6,2,5,7,4,9,2,2,6,10,3,5,3,3,2,12,6,5,9,6,5,6,2,7,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Vandenberg Space Force Base,loc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,7,2,4,3,3,5,4,7,2,5,2,5,8,7,6,3,1,3,5,7,5,2,0,1
Vector,com,0,0,2,0,5,14,0,10,0,6,0,1,1,7,0,0,0,0,3,2,1,12,3,1,6,8,2,23,4,12,2,21,2,7,2,17,15,15,2,0,1,2,0,0,0,0,21,1,1,0,4,0,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vega,satellite,6,15,3,6,7,11,2,15,3,7,10,17,2,6,0,24,0,1,2,13,5,5,11,2,14,1,16,1,10,0,20,9,27,7,18,5,17,5,13,6,18,2,3,3,20,3,25,20,4,0,5,6,0,0,0,8,0,2,0,2,6,0,2,3,1,13,7,2,2,2,6,11,9,4,13,2,1,1,4,0
Vega C,satellite,1,7,0,3,3,4,0,2,1,3,7,13,1,2,0,4,3,1,6,5,7,1,5,0,9,0,15,1,13,0,12,0,5,1,14,0,5,2,6,0,5,1,0,0,5,5,4,9,3,0,0,5,0,0,0,1,0,2,0,1,11,2,8,7,3,19,15,1,1,7,13,14,12,5,17,4,4,10,16,0
Venus,loc,9,1,0,2,0,1,1,1,0,1,0,2,0,1,1,3,2,0,0,3,0,2,0,0,0,0,0,2,1,1,2,0,1,2,0,0,1,3,1,0,0,1,0,2,21,1,12,0,0,1,1,1,2,17,0,0,1,0,0,0,0,2,4,2,0,3,7,3,0,1,3,0,0,0,3,3,0,2,0,0
ViaSat,com,0,27,8,2,25,13,24,11,9,7,5,11,11,2,4,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViaSat-3,satellite,0,15,2,0,7,1,1,4,6,7,0,0,0,10,1,12,20,1,1,1,8,12,0,0,2,15,0,0,3,12,0,11,3,3,0,0,2,2,0,1,2,0,0,4,0,0,1,0,1,1,0,6,1,0,0,3,0,0,1,7,0,14,1,1,0,1,4,1,4,2,8,1,1,1,1,1,9,0,33,0
Viasat,com,0,0,0,0,0,0,0,0,1,0,0,0,0,33,7,35,52,20,9,25,18,40,10,1,5,28,4,11,10,25,9,39,8,15,1,4,6,2,7,12,29,7,3,18,5,17,26,28,11,20,8,31,24,19,17,10,3,0,21,26,10,33,15,22,12,22,18,22,27,39,16,9,9,26,20,12,26,22,47,0
